id,season,team1,team2,toss_winner,toss_decision,winner,toss_win_match_win,target
570,2015,Rajasthan Royals,Kolkata Knight Riders,Rajasthan Royals,bat,Rajasthan Royals,1,1
571,2015,Delhi Capitals,Royal Challengers Bangalore,Royal Challengers Bangalore,field,,0,0
572,2015,Sunrisers Hyderabad,Mumbai Indians,Sunrisers Hyderabad,bat,Mumbai Indians,0,0
573,2015,Mumbai Indians,Chennai Super Kings,Mumbai Indians,bat,Mumbai Indians,1,1
574,2015,Royal Challengers Bangalore,Rajasthan Royals,Royal Challengers Bangalore,bat,Royal Challengers Bangalore,1,1
575,2015,Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings,field,Chennai Super Kings,1,0
576,2015,Mumbai Indians,Chennai Super Kings,Chennai Super Kings,field,Mumbai Indians,0,1
577,2016,Mumbai Indians,Rising Pune Supergiant,Mumbai Indians,bat,Rising Pune Supergiant,0,0
578,2016,Delhi Capitals,Kolkata Knight Riders,Kolkata Knight Riders,field,Kolkata Knight Riders,1,0
579,2016,Punjab Kings,Gujarat Lions,Gujarat Lions,field,Gujarat Lions,1,0
580,2016,Royal Challengers Bangalore,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Royal Challengers Bangalore,0,1
581,2016,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,field,Mumbai Indians,1,0
582,2016,Rising Pune Supergiant,Gujarat Lions,Rising Pune Supergiants,bat,Gujarat Lions,0,0
583,2016,Punjab Kings,Delhi Capitals,Delhi Daredevils,field,Delhi Capitals,0,0
584,2016,Sunrisers Hyderabad,Kolkata Knight Riders,Sunrisers Hyderabad,bat,Kolkata Knight Riders,0,0
585,2016,Mumbai Indians,Gujarat Lions,Gujarat Lions,field,Gujarat Lions,1,0
586,2016,Rising Pune Supergiant,Punjab Kings,Rising Pune Supergiants,bat,Punjab Kings,0,0
587,2016,Royal Challengers Bangalore,Delhi Capitals,Delhi Daredevils,field,Delhi Capitals,0,0
588,2016,Mumbai Indians,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Sunrisers Hyderabad,1,0
589,2016,Punjab Kings,Kolkata Knight Riders,Kolkata Knight Riders,field,Kolkata Knight Riders,1,0
590,2016,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,field,Mumbai Indians,1,0
591,2016,Gujarat Lions,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Sunrisers Hyderabad,1,0
592,2016,Royal Challengers Bangalore,Rising Pune Supergiant,Rising Pune Supergiants,field,Royal Challengers Bangalore,0,1
593,2016,Delhi Capitals,Mumbai Indians,Mumbai Indians,field,Delhi Capitals,0,1
594,2016,Punjab Kings,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Sunrisers Hyderabad,1,0
595,2016,Royal Challengers Bangalore,Gujarat Lions,Royal Challengers Bangalore,bat,Gujarat Lions,0,0
596,2016,Rising Pune Supergiant,Kolkata Knight Riders,Kolkata Knight Riders,field,Kolkata Knight Riders,1,0
597,2016,Mumbai Indians,Punjab Kings,Kings XI Punjab,field,Mumbai Indians,0,1
598,2016,Sunrisers Hyderabad,Rising Pune Supergiant,Rising Pune Supergiants,field,Rising Pune Supergiant,0,0
599,2016,Gujarat Lions,Delhi Capitals,Delhi Daredevils,field,Gujarat Lions,0,1
600,2016,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,field,Mumbai Indians,1,0
601,2016,Rising Pune Supergiant,Gujarat Lions,Gujarat Lions,field,Gujarat Lions,1,0
602,2016,Delhi Capitals,Kolkata Knight Riders,Kolkata Knight Riders,field,Delhi Capitals,0,1
603,2016,Sunrisers Hyderabad,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Sunrisers Hyderabad,0,1
604,2016,Punjab Kings,Gujarat Lions,Gujarat Lions,field,Punjab Kings,0,1
605,2016,Rising Pune Supergiant,Mumbai Indians,Mumbai Indians,field,Mumbai Indians,1,0
606,2016,Royal Challengers Bangalore,Kolkata Knight Riders,Kolkata Knight Riders,field,Kolkata Knight Riders,1,0
607,2016,Gujarat Lions,Delhi Capitals,Delhi Daredevils,field,Delhi Capitals,0,0
608,2016,Kolkata Knight Riders,Punjab Kings,Kings XI Punjab,field,Kolkata Knight Riders,0,1
609,2016,Delhi Capitals,Rising Pune Supergiant,Rising Pune Supergiants,field,Rising Pune Supergiant,0,0
610,2016,Gujarat Lions,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Sunrisers Hyderabad,1,0
611,2016,Rising Pune Supergiant,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Royal Challengers Bangalore,1,0
612,2016,Punjab Kings,Delhi Capitals,Delhi Daredevils,field,Punjab Kings,0,1
613,2016,Sunrisers Hyderabad,Mumbai Indians,Mumbai Indians,field,Sunrisers Hyderabad,0,1
614,2016,Kolkata Knight Riders,Gujarat Lions,Gujarat Lions,field,Gujarat Lions,1,0
615,2016,Royal Challengers Bangalore,Punjab Kings,Kings XI Punjab,field,Royal Challengers Bangalore,0,1
616,2016,Sunrisers Hyderabad,Rising Pune Supergiant,Sunrisers Hyderabad,bat,Sunrisers Hyderabad,1,1
617,2016,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,field,Mumbai Indians,1,0
618,2016,Sunrisers Hyderabad,Delhi Capitals,Delhi Daredevils,field,Delhi Capitals,0,0
619,2016,Mumbai Indians,Punjab Kings,Mumbai Indians,bat,Punjab Kings,0,0
620,2016,Royal Challengers Bangalore,Gujarat Lions,Gujarat Lions,field,Royal Challengers Bangalore,0,1
621,2016,Rising Pune Supergiant,Kolkata Knight Riders,Rising Pune Supergiants,bat,Kolkata Knight Riders,0,0
622,2016,Punjab Kings,Sunrisers Hyderabad,Kings XI Punjab,bat,Sunrisers Hyderabad,0,0
623,2016,Mumbai Indians,Delhi Capitals,Delhi Daredevils,field,Mumbai Indians,0,1
624,2016,Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Royal Challengers Bangalore,1,0
625,2016,Delhi Capitals,Rising Pune Supergiant,Rising Pune Supergiants,field,Rising Pune Supergiant,0,0
626,2016,Royal Challengers Bangalore,Punjab Kings,Kings XI Punjab,field,Royal Challengers Bangalore,0,1
627,2016,Kolkata Knight Riders,Gujarat Lions,Gujarat Lions,field,Gujarat Lions,1,0
628,2016,Sunrisers Hyderabad,Delhi Capitals,Delhi Daredevils,field,Delhi Capitals,0,0
629,2016,Punjab Kings,Rising Pune Supergiant,Kings XI Punjab,bat,Rising Pune Supergiant,0,0
630,2016,Mumbai Indians,Gujarat Lions,Gujarat Lions,field,Gujarat Lions,1,0
631,2016,Kolkata Knight Riders,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Kolkata Knight Riders,0,1
632,2016,Delhi Capitals,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Royal Challengers Bangalore,1,0
633,2016,Gujarat Lions,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Royal Challengers Bangalore,1,0
634,2016,Sunrisers Hyderabad,Kolkata Knight Riders,Kolkata Knight Riders,field,Sunrisers Hyderabad,0,1
635,2016,Gujarat Lions,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Sunrisers Hyderabad,1,0
636,2016,Sunrisers Hyderabad,Royal Challengers Bangalore,Sunrisers Hyderabad,bat,Sunrisers Hyderabad,1,1
7894,2018,Mumbai Indians,Chennai Super Kings,Chennai Super Kings,field,Chennai Super Kings,1,0
7895,2018,Delhi Capitals,Punjab Kings,Kings XI Punjab,field,Punjab Kings,0,0
7896,2018,Royal Challengers Bangalore,Kolkata Knight Riders,Kolkata Knight Riders,field,Kolkata Knight Riders,1,0
7897,2018,Rajasthan Royals,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Sunrisers Hyderabad,1,0
7898,2018,Kolkata Knight Riders,Chennai Super Kings,Chennai Super Kings,field,Chennai Super Kings,1,0
7899,2018,Rajasthan Royals,Delhi Capitals,Delhi Daredevils,field,Rajasthan Royals,0,1
7900,2018,Mumbai Indians,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Sunrisers Hyderabad,1,0
7901,2018,Punjab Kings,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Royal Challengers Bangalore,1,0
7902,2018,Mumbai Indians,Delhi Capitals,Delhi Daredevils,field,Delhi Capitals,0,0
7903,2018,Kolkata Knight Riders,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Sunrisers Hyderabad,1,0
7904,2018,Rajasthan Royals,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Rajasthan Royals,0,1
7905,2018,Punjab Kings,Chennai Super Kings,Chennai Super Kings,field,Punjab Kings,0,1
7906,2018,Kolkata Knight Riders,Delhi Capitals,Delhi Daredevils,field,Kolkata Knight Riders,0,1
7907,2018,Mumbai Indians,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Mumbai Indians,0,1
7908,2018,Rajasthan Royals,Kolkata Knight Riders,Kolkata Knight Riders,field,Kolkata Knight Riders,1,0
7909,2018,Punjab Kings,Sunrisers Hyderabad,Kings XI Punjab,bat,Punjab Kings,0,1
7910,2018,Chennai Super Kings,Rajasthan Royals,Rajasthan Royals,field,Chennai Super Kings,0,1
7911,2018,Kolkata Knight Riders,Punjab Kings,Kings XI Punjab,field,Punjab Kings,0,0
7912,2018,Delhi Capitals,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Royal Challengers Bangalore,1,0
7913,2018,Chennai Super Kings,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Chennai Super Kings,0,1
7914,2018,Mumbai Indians,Rajasthan Royals,Mumbai Indians,bat,Rajasthan Royals,0,0
7915,2018,Punjab Kings,Delhi Capitals,Delhi Daredevils,field,Punjab Kings,0,1
7916,2018,Sunrisers Hyderabad,Mumbai Indians,Mumbai Indians,field,Sunrisers Hyderabad,0,1
7917,2018,Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings,field,Chennai Super Kings,1,0
7918,2018,Sunrisers Hyderabad,Punjab Kings,Kings XI Punjab,field,Sunrisers Hyderabad,0,1
7919,2018,Delhi Capitals,Kolkata Knight Riders,Kolkata Knight Riders,field,Delhi Capitals,0,1
7920,2018,Chennai Super Kings,Mumbai Indians,Mumbai Indians,field,Mumbai Indians,1,0
7921,2018,Sunrisers Hyderabad,Rajasthan Royals,Sunrisers Hyderabad,bat,Sunrisers Hyderabad,1,1
7922,2018,Royal Challengers Bangalore,Kolkata Knight Riders,Kolkata Knight Riders,field,Kolkata Knight Riders,1,0
7923,2018,Chennai Super Kings,Delhi Capitals,Delhi Daredevils,field,Chennai Super Kings,0,1
7924,2018,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,field,Royal Challengers Bangalore,0,1
7925,2018,Delhi Capitals,Rajasthan Royals,Rajasthan Royals,field,Delhi Capitals,0,1
7926,2018,Chennai Super Kings,Kolkata Knight Riders,Kolkata Knight Riders,field,Kolkata Knight Riders,1,0
7927,2018,Punjab Kings,Mumbai Indians,Mumbai Indians,field,Mumbai Indians,1,0
7928,2018,Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings,field,Chennai Super Kings,1,0
7929,2018,Delhi Capitals,Sunrisers Hyderabad,Delhi Daredevils,bat,Sunrisers Hyderabad,0,0
7930,2018,Mumbai Indians,Kolkata Knight Riders,Kolkata Knight Riders,field,Mumbai Indians,0,1
7931,2018,Rajasthan Royals,Punjab Kings,Kings XI Punjab,field,Punjab Kings,0,0
7932,2018,Sunrisers Hyderabad,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Sunrisers Hyderabad,0,1
7933,2018,Rajasthan Royals,Punjab Kings,Rajasthan Royals,bat,Rajasthan Royals,1,1
7934,2018,Mumbai Indians,Kolkata Knight Riders,Kolkata Knight Riders,field,Mumbai Indians,0,1
7935,2018,Delhi Capitals,Sunrisers Hyderabad,Delhi Daredevils,bat,Sunrisers Hyderabad,0,0
7936,2018,Chennai Super Kings,Rajasthan Royals,Chennai Super Kings,bat,Rajasthan Royals,0,0
7937,2018,Kolkata Knight Riders,Punjab Kings,Kings XI Punjab,field,Kolkata Knight Riders,0,1
7938,2018,Delhi Capitals,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Royal Challengers Bangalore,1,0
7939,2018,Sunrisers Hyderabad,Chennai Super Kings,Chennai Super Kings,field,Chennai Super Kings,1,0
7940,2018,Mumbai Indians,Rajasthan Royals,Rajasthan Royals,field,Rajasthan Royals,1,0
7941,2018,Punjab Kings,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Royal Challengers Bangalore,1,0
7942,2018,Rajasthan Royals,Kolkata Knight Riders,Kolkata Knight Riders,field,Kolkata Knight Riders,1,0
7943,2018,Mumbai Indians,Punjab Kings,Kings XI Punjab,field,Mumbai Indians,0,1
7944,2018,Royal Challengers Bangalore,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Royal Challengers Bangalore,0,1
7945,2018,Delhi Capitals,Chennai Super Kings,Chennai Super Kings,field,Delhi Capitals,0,1
7946,2018,Rajasthan Royals,Royal Challengers Bangalore,Rajasthan Royals,bat,Rajasthan Royals,1,1
7947,2018,Sunrisers Hyderabad,Kolkata Knight Riders,Sunrisers Hyderabad,bat,Kolkata Knight Riders,0,0
7948,2018,Delhi Capitals,Mumbai Indians,Delhi Daredevils,bat,Delhi Capitals,0,1
7949,2018,Punjab Kings,Chennai Super Kings,Chennai Super Kings,field,Chennai Super Kings,1,0
7950,2018,Sunrisers Hyderabad,Chennai Super Kings,Chennai Super Kings,field,Chennai Super Kings,1,0
7951,2018,Kolkata Knight Riders,Rajasthan Royals,Rajasthan Royals,field,Kolkata Knight Riders,0,1
7952,2018,Sunrisers Hyderabad,Kolkata Knight Riders,Kolkata Knight Riders,field,Sunrisers Hyderabad,0,1
7953,2018,Sunrisers Hyderabad,Chennai Super Kings,Chennai Super Kings,field,Chennai Super Kings,1,0
11137,2019,Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings,field,Chennai Super Kings,1,0
11138,2019,Sunrisers Hyderabad,Kolkata Knight Riders,Kolkata Knight Riders,field,Kolkata Knight Riders,1,0
11139,2019,Delhi Capitals,Mumbai Indians,Mumbai Indians,field,Delhi Capitals,0,1
11140,2019,Punjab Kings,Rajasthan Royals,Rajasthan Royals,field,Punjab Kings,0,1
11141,2019,Delhi Capitals,Chennai Super Kings,Delhi Capitals,bat,Chennai Super Kings,0,0
11142,2019,Kolkata Knight Riders,Punjab Kings,Kings XI Punjab,field,Kolkata Knight Riders,0,1
11143,2019,Mumbai Indians,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Mumbai Indians,0,1
11144,2019,Rajasthan Royals,Sunrisers Hyderabad,Rajasthan Royals,bat,Sunrisers Hyderabad,0,0
11145,2019,Mumbai Indians,Punjab Kings,Kings XI Punjab,field,Punjab Kings,0,0
11146,2019,Kolkata Knight Riders,Delhi Capitals,Delhi Capitals,field,Delhi Capitals,1,0
11147,2019,Sunrisers Hyderabad,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Sunrisers Hyderabad,0,1
11148,2019,Chennai Super Kings,Rajasthan Royals,Rajasthan Royals,field,Chennai Super Kings,0,1
11149,2019,Punjab Kings,Delhi Capitals,Delhi Capitals,field,Punjab Kings,0,1
11150,2019,Royal Challengers Bangalore,Rajasthan Royals,Rajasthan Royals,field,Rajasthan Royals,1,0
11151,2019,Mumbai Indians,Chennai Super Kings,Chennai Super Kings,field,Mumbai Indians,0,1
11152,2019,Delhi Capitals,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Sunrisers Hyderabad,1,0
11153,2019,Royal Challengers Bangalore,Kolkata Knight Riders,Kolkata Knight Riders,field,Kolkata Knight Riders,1,0
11309,2019,Chennai Super Kings,Punjab Kings,Chennai Super Kings,bat,Chennai Super Kings,1,1
11310,2019,Mumbai Indians,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Mumbai Indians,0,1
11311,2019,Royal Challengers Bangalore,Delhi Capitals,Delhi Capitals,field,Delhi Capitals,1,0
11312,2019,Rajasthan Royals,Kolkata Knight Riders,Kolkata Knight Riders,field,Kolkata Knight Riders,1,0
11313,2019,Sunrisers Hyderabad,Punjab Kings,Kings XI Punjab,field,Punjab Kings,0,0
11314,2019,Kolkata Knight Riders,Chennai Super Kings,Chennai Super Kings,field,Chennai Super Kings,1,0
11315,2019,Punjab Kings,Mumbai Indians,Mumbai Indians,field,Mumbai Indians,1,0
11316,2019,Rajasthan Royals,Chennai Super Kings,Chennai Super Kings,field,Chennai Super Kings,1,0
11317,2019,Kolkata Knight Riders,Delhi Capitals,Delhi Capitals,field,Delhi Capitals,1,0
11318,2019,Mumbai Indians,Rajasthan Royals,Rajasthan Royals,field,Rajasthan Royals,1,0
11319,2019,Punjab Kings,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Royal Challengers Bangalore,1,0
11320,2019,Kolkata Knight Riders,Chennai Super Kings,Chennai Super Kings,field,Chennai Super Kings,1,0
11321,2019,Delhi Capitals,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Delhi Capitals,0,1
11322,2019,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,field,Mumbai Indians,1,0
11323,2019,Punjab Kings,Rajasthan Royals,Rajasthan Royals,field,Punjab Kings,0,1
11324,2019,Chennai Super Kings,Sunrisers Hyderabad,Chennai Super Kings,bat,Sunrisers Hyderabad,0,0
11325,2019,Mumbai Indians,Delhi Capitals,Mumbai Indians,bat,Mumbai Indians,1,1
11326,2019,Royal Challengers Bangalore,Kolkata Knight Riders,Kolkata Knight Riders,field,Royal Challengers Bangalore,0,1
11327,2019,Mumbai Indians,Rajasthan Royals,Rajasthan Royals,field,Rajasthan Royals,1,0
11328,2019,Punjab Kings,Delhi Capitals,Delhi Capitals,field,Delhi Capitals,1,0
11329,2019,Kolkata Knight Riders,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Sunrisers Hyderabad,1,0
11330,2019,Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings,field,Royal Challengers Bangalore,0,1
11331,2019,Rajasthan Royals,Delhi Capitals,Delhi Capitals,field,Delhi Capitals,1,0
11332,2019,Sunrisers Hyderabad,Chennai Super Kings,Chennai Super Kings,field,Chennai Super Kings,1,0
11333,2019,Royal Challengers Bangalore,Punjab Kings,Kings XI Punjab,field,Royal Challengers Bangalore,0,1
11334,2019,Kolkata Knight Riders,Rajasthan Royals,Rajasthan Royals,field,Rajasthan Royals,1,0
11335,2019,Mumbai Indians,Chennai Super Kings,Chennai Super Kings,field,Mumbai Indians,0,1
11336,2019,Sunrisers Hyderabad,Rajasthan Royals,Rajasthan Royals,field,Rajasthan Royals,1,0
11337,2019,Delhi Capitals,Royal Challengers Bangalore,Delhi Capitals,bat,Delhi Capitals,1,1
11338,2019,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,field,Kolkata Knight Riders,0,1
11339,2019,Sunrisers Hyderabad,Punjab Kings,Kings XI Punjab,field,Sunrisers Hyderabad,0,1
11340,2019,Royal Challengers Bangalore,Rajasthan Royals,Rajasthan Royals,field,,0,0
11341,2019,Chennai Super Kings,Delhi Capitals,Delhi Capitals,field,Chennai Super Kings,0,1
11342,2019,Mumbai Indians,Sunrisers Hyderabad,Mumbai Indians,bat,Mumbai Indians,1,1
11343,2019,Punjab Kings,Kolkata Knight Riders,Kolkata Knight Riders,field,Kolkata Knight Riders,1,0
11344,2019,Rajasthan Royals,Delhi Capitals,Rajasthan Royals,bat,Delhi Capitals,0,0
11345,2019,Sunrisers Hyderabad,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Royal Challengers Bangalore,1,0
11346,2019,Chennai Super Kings,Punjab Kings,Kings XI Punjab,field,Punjab Kings,0,0
11347,2019,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,field,Mumbai Indians,1,0
11412,2019,Chennai Super Kings,Mumbai Indians,Chennai Super Kings,bat,Mumbai Indians,0,0
11413,2019,Sunrisers Hyderabad,Delhi Capitals,Delhi Capitals,field,Delhi Capitals,1,0
11414,2019,Delhi Capitals,Chennai Super Kings,Chennai Super Kings,field,Chennai Super Kings,1,0
11415,2019,Mumbai Indians,Chennai Super Kings,Mumbai Indians,bat,Mumbai Indians,1,1
